"","geneID"
"1022","SVE_0975800"
"1023","SVE_0965200"
"1024","SVE_1328600"
"1025","SVE_1737800"
"1026","SVE_2020800"
"1027","SVE_1027600"
"1028","SVE_0652200"
"1029","SVE_0626800"
"1030","SVE_1309400"
"1031","SVE_1966600"
"1032","SVE_0911400"
"1033","SVE_0893600"
"1034","SVE_0782400"
"1035","SVE_1728000"
"1036","SVE_1969100"
"1037","SVE_0547400"
"1038","SVE_0883700"
"1039","SVE_0594200"
"1040","SVE_0220100"
"1041","SVE_1035100"
"1042","SVE_0726600"
"1043","SVE_0479600"
"1044","SVE_0620000"
"1045","SVE_0425800"
"1046","SVE_0881500"
"1047","SVE_0115100"
"1048","SVE_2024300"
"1049","SVE_0973500"
"1050","SVE_0217100"
"1051","SVE_0378100"
"1052","SVE_0523300"
"1053","SVE_0299100"
"1054","SVE_1598500"
"1055","SVE_1885000"
"1056","SVE_1101000"
"1057","SVE_0980600"
"1058","SVE_0172000"
"1059","SVE_0967300"
"1060","SVE_0247700"
"1061","SVE_1419600"
"1062","SVE_1602600"
"1063","SVE_0908700"
"1064","SVE_1196100"
"1065","SVE_1048300"
"1066","SVE_1719100"
"1067","SVE_0546000"
"1068","SVE_0502800"
"1069","SVE_0606400"
"1070","SVE_0222300"
"1071","SVE_1222900"
"1072","SVE_1589300"
"1073","SVE_1974800"
"1074","SVE_1308700"
"1075","SVE_0955700"
"1076","SVE_1032500"
"1077","SVE_1797600"
"1078","SVE_0239200"
"1079","SVE_0504200"
"1080","SVE_0448100"
"1081","SVE_1317000"
"1082","SVE_1665900"
"1083","SVE_1453900"
"1084","SVE_1619900"
"1085","SVE_1641800"
"1086","SVE_1691300"
"1087","SVE_0154500"
"1088","SVE_1039700"
"1089","SVE_0204400"
"1090","SVE_1076100"
"1091","SVE_0848100"
"1092","SVE_0145200"
"1093","SVE_1573400"
"1094","SVE_1245700"
"1095","SVE_0483300"
"1096","SVE_1640300"
"1097","SVE_0073400"
"1098","SVE_0856200"
"1099","SVE_1737300"
"1100","SVE_1893400"
"1101","SVE_0155700"
"1102","SVE_1892000"
"1103","SVE_1754000"
"1104","SVE_0749100"
"1105","SVE_0821100"
"1106","SVE_0820800"
"1107","SVE_0194900"
"1108","SVE_0763700"
"1109","SVE_1729300"
"1110","SVE_1760200"
"1111","SVE_0647700"
"1112","SVE_1888100"
"1113","SVE_0570200"
"1114","SVE_0285400"
"1115","SVE_0976300"
"1116","SVE_1740200"
"1117","SVE_0422900"
"1118","SVE_0904900"
"1119","SVE_0683900"
"1120","SVE_0841600"
"1121","SVE_1362200"
"1122","SVE_0238700"
"1123","SVE_0431200"
"1124","SVE_0939400"
"1125","SVE_0972500"
"1126","SVE_0705500"
"1127","SVE_1979000"
"1128","SVE_1694400"
"1129","SVE_1872300"
"1130","SVE_0121000"
"1131","SVE_1615900"
"1132","SVE_0239100"
"1133","SVE_0000584150"
"1134","SVE_1973000"
"1135","SVE_0998400"
"1136","SVE_0356800"
"1137","SVE_0376100"
"1138","SVE_0616000"
"1139","SVE_1148900"
"1140","SVE_0955200"
"1141","SVE_1689100"
"1142","SVE_0980400"
"1143","SVE_0067400"
"1144","SVE_0675700"
"1145","SVE_0303700"
"1146","SVE_1629600"
"1147","SVE_1136000"
"1148","SVE_2006200"
"1149","SVE_1787700"
"1150","SVE_0165900"
